Open,High,Low,Close
1448,1448,1410.050049,1415.449951
1458.900024,1470,1405.199951,1455.599976
1431.900024,1439.699951,1412,1416.5
1429.949951,1436.699951,1406.75,1429.900024
1416.5,1441.650024,1416.5,1431.949951
1392,1427.050049,1392,1416.5
1407.099976,1409.800049,1389.800049,1401.199951
1406,1415,1393.099976,1410.699951
1289.199951,1403.650024,1289.199951,1398.849976
1362,1378.650024,1353.5,1371.449951
1360,1385,1350.449951,1360.800049
1323,1357,1320.25,1353.349976
1331.050049,1339.650024,1323.349976,1326.199951
1334.849976,1351.199951,1323.599976,1325.949951
1325.5,1332.300049,1309.75,1329.150024
1320.199951,1326.800049,1313.050049,1323.550049
1332.199951,1336.5,1317.650024,1323.75
1340,1343,1326.400024,1332.75
1316.5,1345.949951,1316.5,1338.25
1325,1328.949951,1308,1314.900024
1284.949951,1320,1280.099976,1315.699951
1255.900024,1283.949951,1251.5,1275.300049
1267,1269.900024,1242.849976,1249.75
1261,1274,1255.900024,1260.699951
1262,1270,1247.949951,1258.25
1257.5,1264.949951,1249.449951,1252.75
1268.900024,1275.949951,1251.300049,1257.849976
1266.150024,1275,1257.300049,1269.699951
1260.400024,1270,1253,1266.150024
1239,1265,1237,1258.800049
1217.199951,1240.449951,1209,1232.5
1222,1222,1213.349976,1219.900024
1195,1224,1175,1217.900024
1202,1216.25,1201,1203.550049
1196.5,1200,1176.099976,1188.800049
1204.5,1210,1185,1189.25
1221.199951,1221.5,1200.5,1202.900024
1224,1229,1215.25,1221.849976
1225,1227,1217.699951,1220.349976
1196,1228.449951,1196,1218.400024
1205.900024,1212,1189,1191.25
1214.5,1214.5,1191.349976,1209.900024
1217,1225.099976,1201.800049,1217.5
1216.150024,1235,1208,1211.650024
1215,1223.900024,1209,1216.550049
1215.449951,1223,1212,1217.849976
1228,1228,1209,1211.699951
1215,1234,1215,1224.75
1216,1224,1213.5,1218.5
1222,1229.199951,1211.300049,1215.949951
1225,1232,1215.150024,1222.699951
1235.5,1235.5,1212.25,1222.650024
1240,1248,1224,1229.800049
1230,1239.449951,1215,1222.800049
1211.099976,1223.900024,1209,1219.300049
1210.5,1225,1206.050049,1209.5
1235,1238,1207.050049,1210.199951
1229.800049,1259.949951,1208.199951,1240.550049
1217.650024,1274.949951,1217,1264.949951
1220.150024,1231.099976,1205.900024,1215.900024
1212,1225,1208.199951,1218.199951
1225.550049,1233.599976,1203.099976,1211.050049
1225,1241.5,1218.5,1224.699951
1211,1247.150024,1211,1235
1215.5,1216,1203.75,1210.949951
1226.099976,1236.650024,1213.300049,1215.300049
1237,1238.199951,1210.800049,1222.300049
1228,1239.900024,1224.150024,1236.949951
1232.949951,1242,1220.400024,1224.650024
1209.949951,1243.5,1209.150024,1223.5
1150.099976,1215,1150.099976,1204.199951
1139,1145.400024,1126.099976,1142.550049
1139.75,1152,1123.199951,1135.75
1143,1147.050049,1137,1139.75
1150,1156.900024,1138.099976,1141.400024
1142,1155,1140,1148.75
1143,1150.949951,1140.650024,1144.699951
1143.650024,1150,1136.150024,1138.650024
1142,1146.099976,1134.25,1143.650024
1147.400024,1151.5,1127.349976,1133.849976
1154,1155.25,1138.25,1142.699951
1142,1158.25,1138.849976,1140.949951
1135,1144.949951,1135,1141.800049
1142,1145.800049,1128.5,1132.050049
1135,1143.849976,1133.349976,1138.300049
1142.050049,1157.75,1128.050049,1134.900024
1139.949951,1154.050049,1131.050049,1142.050049
1140.349976,1143.699951,1128,1133.349976
1172.900024,1172.900024,1131.5,1137.199951
1151,1170,1151,1162.900024
1187,1187,1145,1165.199951
1228.050049,1229.150024,1176.050049,1184.800049
1236.900024,1240,1208.75,1228.050049
1228.150024,1250.5,1228.150024,1235.949951
1235,1237.800049,1220.5,1225.900024
1218.550049,1246,1218.550049,1237.949951
1214,1221.650024,1202.050049,1212.400024
1223.550049,1234,1211.5,1214.199951
1222,1229,1207.5,1223.349976
1219.5,1234,1219.5,1230.25
1180,1225,1152.550049,1217.849976
1137.5,1182,1134.050049,1172.400024
1121.099976,1130.949951,1118.25,1129.099976
1122,1126.099976,1115.900024,1117.599976
1131.150024,1139,1122.300049,1126.650024
1127.949951,1138.949951,1122,1130.650024
1134.949951,1144.400024,1131.550049,1139.199951
1144,1145,1130.5,1136.300049
1140,1145.900024,1133,1139.650024
1135.650024,1138.75,1123.349976,1130.050049
1131.699951,1155,1128.800049,1138.900024
1130,1135.800049,1126,1131.699951
1120,1128.849976,1114.400024,1124.150024
1132,1135,1113.050049,1117.699951
1133.449951,1140,1124.599976,1127.099976
1124,1137.650024,1123,1130.599976
1145,1157,1131.050049,1134
1146.900024,1152.400024,1123.25,1142.25
1143.25,1153,1119,1146.900024
1138,1144.050049,1125.199951,1131.949951
1151,1166.900024,1140,1157.699951
1171,1171,1148,1153.900024
1180,1186,1164,1171.199951
1176.699951,1184.599976,1172,1179.949951
1174,1181.949951,1169.699951,1175.849976
1179.900024,1184.650024,1167.650024,1174.75
1191,1191.849976,1172.5,1176.800049
1198.25,1198.25,1171.699951,1190.050049
1193.699951,1207.5,1180.099976,1193.949951
1184,1190.400024,1153.5,1161.400024
1180.800049,1194.900024,1173,1182.050049
1169.900024,1184,1166,1180.25
1178,1179.949951,1165.5,1170.849976
1177,1182.650024,1171.099976,1178
1190,1190,1170.199951,1179.25
1182,1194.449951,1176,1185.650024
1184,1187,1170.099976,1181.300049
1169.900024,1187,1168.099976,1177.900024
1178,1182,1162.400024,1171.25
1183,1183,1159.550049,1171.199951
1165.099976,1182.5,1160,1175.099976
1165.329956,1171.130005,1157.130005,1159.699951
1159.599976,1166.599976,1153.329956,1160.72998
1141.329956,1159.329956,1141.329956,1154.77002
1131.329956,1145.27002,1126.800049,1136.27002
1132.800049,1137.969971,1126.869995,1131.72998
1122.670044,1132.670044,1120.069946,1130.199951
1133.329956,1133.329956,1114,1122.22998
1125.329956,1140.329956,1115.599976,1124.829956
1132.670044,1132.670044,1107.530029,1125.069946
1136.069946,1148.77002,1130.369995,1135.77002
1132.569946,1138.670044,1120.900024,1135.5
1148.469971,1158.630005,1123.930054,1134.469971
1160,1162.170044,1146,1148.469971
1173.329956,1177.069946,1154.869995,1157.599976
1172.329956,1188,1167.329956,1169.469971
1172.469971,1179.300049,1160.130005,1167
1157.329956,1173.329956,1154.800049,1170.530029
1156.569946,1167.329956,1147.130005,1151.130005
1171.430054,1174.599976,1153.329956,1156.900024
1161.329956,1180.900024,1156.530029,1176.300049
1163.030029,1169.800049,1157.699951,1159.329956
1185.199951,1185.329956,1139.27002,1157.72998
1184.670044,1189.27002,1174.400024,1185.469971
1192.670044,1199.329956,1181,1182.829956
1182.670044,1196.329956,1182,1192.400024
1205.130005,1205.369995,1181.430054,1183.430054
1196.670044,1206.27002,1189,1203.27002
1200,1203.329956,1185.400024,1189.329956
1173.329956,1198.670044,1165.329956,1195.199951
1181.670044,1190,1167.130005,1173.800049
1210.670044,1222.630005,1169.329956,1178.369995
1189.27002,1206.630005,1177.329956,1188.27002
1180,1199.329956,1169.22998,1191.72998
1128,1183.329956,1128,1179.22998
1161.400024,1171.27002,1118.400024,1122.969971
1170,1176.599976,1151.599976,1160.5
1155.329956,1172.670044,1152.670044,1167.969971
1152.670044,1156,1131.699951,1149.699951
1159.77002,1166.72998,1144.27002,1148.400024
1162.599976,1176,1153.670044,1170.300049
1164.670044,1165.5,1151.699951,1160.469971
1165.72998,1167.699951,1157.670044,1161.599976
1158.300049,1171.329956,1151.069946,1160.400024
1166.670044,1169.670044,1146.400024,1157.900024
1169.800049,1176.670044,1154.069946,1159.5
1141.329956,1171.300049,1136.670044,1163.099976
1152,1159.199951,1136.72998,1139.72998
1153.329956,1154.069946,1135.469971,1149.599976
1149.329956,1161.300049,1148,1154.430054
1157.329956,1163.5,1144,1146.800049
1166.530029,1178,1150,1154.699951
1175.369995,1177.170044,1160.130005,1166.530029
1165.22998,1182.670044,1162.670044,1177.829956
1164,1176,1160,1167.530029
1160,1166.670044,1157.329956,1164.069946
1128.670044,1157.599976,1127.329956,1155.130005
1130,1134.469971,1120,1125
1115.930054,1124.400024,1108.800049,1120.800049
1113.329956,1116.670044,1107.900024,1113.699951
1122.670044,1132.630005,1108.800049,1113
1119.030029,1126.400024,1113.930054,1120.900024
1129.670044,1129.670044,1114.969971,1119.030029
1130,1141,1117.530029,1135.199951
1116.030029,1139.329956,1114,1136.599976
1125.329956,1139.400024,1108.670044,1116.030029
1116.670044,1146.630005,1114.069946,1123.670044
1123.329956,1134.900024,1112.670044,1122.130005
1107.329956,1133.300049,1098.569946,1130.969971
1054.599976,1110.670044,1051.069946,1107.329956
1034.72998,1062.430054,1034.72998,1049.930054
1042,1046.670044,1034.829956,1038.300049
1036,1045.069946,1033.329956,1037.699951
1032,1038.530029,1027.400024,1029.5
1033.27002,1036.670044,1025.329956,1029.27002
1032,1038.670044,1027.670044,1034.130005
1024.670044,1038.930054,1012.700012,1029.27002
1025.22998,1034.5,1016.929993,1019.900024
1033.329956,1043.069946,1028.670044,1032.699951
1036,1036.930054,1023.5,1025.099976
1047.369995,1048.599976,1029.430054,1035.030029
1039.329956,1050,1038.670044,1047.369995
1038,1040,1026.800049,1032.599976
994.400024,1045.800049,994.400024,1038.72998
987.267029,998.333008,986.700012,994.400024
981.932983,988.53302,976.666992,984.599976
989.599976,996.333008,979.232971,984.200012
989.333008,994.367004,986.299988,990.932983
978.666992,992.666992,978.666992,990.400024
980.900024,985.567017,973.333008,980.232971
988.03302,996.900024,980,982.632996
981.333008,989.900024,980.767029,984.099976
981.333008,991.96698,977.432983,979.46698
991.067017,1000,973.400024,977.232971
986.666992,1004,978.799988,991.067017
988.666992,992.5,981.867004,984.632996
984,993.400024,984,988.867004
988.567017,994.666992,983.367004,988.432983
980.700012,990,976.666992,985.333008
989.267029,990,974.03302,980.166992
995.132996,1003.799988,984.099976,986.666992
1003.330017,1004.630005,990.666992,995.067017
1003.700012,1006,987.700012,1000.099976
996.833008,1005.429993,994.833008,1001.299988
1005.330017,1007.22998,984.267029,993.799988
1003.200012,1007.330017,992.833008,1004.570007
986.799988,1003.200012,981.432983,1000.200012
990,1000,986.267029,989.200012
984.333008,992,971.333008,987.132996
994.400024,996,980.200012,984.333008
965.299988,996.567017,964.200012,993.5
960,970,951.333008,964.166992
962,978,958.666992,961.867004
966.5,980.166992,955.567017,959.932983
949.867004,969.333008,946.932983,966.5
932.166992,949.333008,932,946.53302
941.333008,942,921.267029,929.03302
966.299988,969.267029,940.666992,943.166992
968.666992,975.333008,963.367004,966.299988
964,979.333008,964,968.299988
960,973.299988,960,963.833008
956.666992,966.666992,954.867004,961.867004
973.333008,973.333008,954.799988,959.166992
943.267029,969.53302,942.666992,966.232971
932,945.232971,930,941.567017
920.166992,930,918.367004,925
928,931.96698,917.799988,920.432983
930,935.799988,925.067017,927.299988
921.5,930,918.666992,928.200012
916.666992,920.900024,913.666992,917.732971
906.666992,916.666992,901.46698,911.46698
904.03302,912.666992,899.432983,906.400024
896.666992,903.666992,896,899.400024
894.367004,902.666992,886.932983,892.799988
904.666992,908.833008,897.333008,899.96698
893.333008,906.333008,886.067017,903.732971
890.400024,896.666992,878.900024,891.732971
877.166992,894.666992,868.333008,891.632996
893.833008,896,874.700012,876.432983
905.46698,907.03302,893.333008,894.666992
896.666992,907.46698,896.099976,903.666992
905,906,894.367004,896.632996
904.200012,909.666992,901.367004,907.067017
899.833008,911.400024,899.333008,904.567017
921.267029,921.267029,904.732971,906.632996
910.666992,919.267029,910.132996,917.132996
906.666992,916.599976,904.067017,909.96698
915.267029,915.53302,904.666992,908.132996
910.099976,917.166992,907.867004,911.299988
912,916.732971,900,902.53302
905.432983,916,905.200012,908.099976
906.799988,909.867004,899.400024,904.099976
918.666992,919.732971,906,907.900024
924.267029,935,915.200012,925.567017
910,927.5,900,921.833008
904.666992,913.132996,899.367004,901.632996
913.632996,914.799988,900,904.632996
905.200012,916.799988,890.932983,913.799988
902.599976,910.599976,893.333008,899.767029
904.666992,923.333008,898.666992,904.833008
905.5,906.666992,869.666992,886.367004
919.132996,919.132996,893.333008,898.599976
914.666992,921.567017,907.333008,913.632996
918.799988,922.666992,906.666992,914
924.867004,925.53302,900.666992,917.03302
925.867004,938.333008,908.833008,913.53302
931.267029,939.333008,924,925.867004
933.700012,951.333008,933.700012,941.400024
880,939.400024,863.400024,926.96698
937,937.333008,922.666992,931.46698
950,954.46698,928.232971,932
951.267029,956.267029,931.267029,946.53302
961.432983,977.767029,961.333008,962.799988
965.200012,970,957.666992,965.767029
987.132996,987.367004,973.333008,975.432983
980.666992,989.932983,975.333008,987.132996
986.5,988.599976,971.400024,983.53302
986.46698,992.666992,980.367004,988.200012
996.666992,999.567017,985.799988,989.400024
1011.099976,1013.330017,991.200012,995.099976
1002.669983,1009.400024,995.400024,1007.22998
997.333008,1005,988.367004,1002.429993
992.166992,1000.669983,984.03302,994.03302
971.799988,994.599976,967.367004,992.166992
983.267029,984.666992,960.666992,965.299988
962.666992,984.932983,959.067017,983.232971
966.666992,966.666992,954.200012,958.932983
973.96698,976.932983,964.700012,966.666992
968.666992,973.267029,960.666992,971.299988
976,978.299988,964,969.666992
973.333008,974.599976,960.767029,969.299988
984.53302,986.367004,962.232971,966.099976
958.700012,983.166992,956.799988,980.46698
956.666992,960.367004,941,955.432983
974.400024,979.333008,946.96698,958.400024
961.333008,978,958.96698,970.599976
980.03302,984.200012,954.299988,957.599976
994.666992,1007.969971,974.400024,977.132996
1003.330017,1011.669983,993.732971,998
993.333008,1002.669983,984.666992,999.96698
986.666992,991.932983,977.53302,981.400024
985.333008,989.567017,979.03302,983.96698
984,993.333008,976,986.53302
984.732971,999.333008,979,982.132996
983.400024,984.700012,971.432983,980.166992
975.46698,988,970.732971,983.53302
992,994.400024,973.267029,975.46698
1026.670044,1027.400024,1006.669983,1011.799988
